Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
HerMoney,https://www.crunchbase.com/organization/hermoney,"Financial Services, FinTech, Software","São Paulo, Sao Paulo, Brazil","HerMoney is a virtual financial wizard encourages entrepreneurial women, assisting in their financial management.","52,280",Latin America,,Active,2019-01-01,year,,,,,,https://www.hermoney.com.br/,,,,,+55 (85) 99274.9023,,,"HerMoney is a virtual financial wizard encourages entrepreneurial women, assisting in their financial management.",,,,,,,,,,,,,,"Financial Services, Software",,,11-50,1,Seed,2021-01-07,600000,BRL,110899,Seed,600000,BRL,110899,Seed,600000,BRL,110899,600000,BRL,110899,Wishe Women Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,214",18,,,,,,,,,,,
ePHealth Primary Care Solution,https://www.crunchbase.com/organization/ephealth-primary-care-solution,"Clinical Trials, Health Care, Medical, mHealth","Florianópolis, Santa Catarina, Brazil",ePHealth Primary Care Solution is an idealized platform with the objective of optimizing the daily lives of health professionals.,"52,323",Latin America,Less than $1M,Active,2015-11-09,day,,,,,For Profit,http://www.ephealth.com.br/,,https://www.facebook.com/ephealth.oficial/,https://www.linkedin.com/company/ephealth-primary-care-solution/,info@ephealth.com.br,,19,,ePHealth Primary Care Solution is an idealized platform with the objective of optimizing the daily lives of health professionals and offering municipalities an assertive solution in the management of population mapping information.,,,,,,,,,,,,,,"Health Care, Mobile",1,Pedro Marton Pereira,11-50,5,Seed,2020-06-12,500000,BRL,99023,Grant,750000,BRL,198509,Seed,1704000,BRL,466026,2204000,BRL,565050,Darwin Startups,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,260",22,,,,,,,,,,,
Shipp,https://www.crunchbase.com/organization/shipp,"Apps, Delivery, Logistics, Retail","Victoria, Espirito Santo, Brazil",Shipp is a digital application platform for the delivery and operating logistics.,"52,336",Latin America,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.shipp.delivery,,https://www.facebook.com/shipp.br,https://www.linkedin.com/company/shippbrasil,contato@shipp.delivery,,1,,"Shipp is a digital application platform for the delivery and operating logistics. The company was founded in 2017 and is a headquartered in Espirito Santo, Brazil.",,,,,,,,,,,,,,"Administrative Services, Apps, Commerce and Shopping, Software, Transportation",2,"Rodrigo Miranda, Tomás Drumond Scopel",11-50,3,Seed,2018-12-01,2000000,BRL,517152,Seed,2000000,BRL,517152,Seed,3064000,BRL,843001,3064000,BRL,843001,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,274",29,3,,,,,,,,,,
Nucont,https://www.crunchbase.com/organization/nucont,"Accounting, Finance, Information Technology, SaaS, Software","Belo Horizonte, Minas Gerais, Brazil",Nucont develops a software platform for accounting needs.,"52,513",Latin America,,Active,2017-01-01,year,,,,,For Profit,https://nucont.com/,https://twitter.com/Nucont1,https://www.facebook.com/NucontCSC/,https://www.linkedin.com/company/nucont/,,,1,,"Nucont a startup of BH and we work with eye brightness and blood in the eye so that everyone knows, once and for all, that the accountant is the scientist of wealth and prosperity. It believes that advisory accounting is the future of the accounting profession. It has developed, with much love, technologies to make life easier for accountants.",,,,,,,,,,,,,,"Financial Services, Information Technology, Professional Services, Software",2,"Fernanda Rocha, Rodrigo Henrique Oliveira",11-50,1,Seed,2019-12-28,1100000,USD,1100000,Seed,1100000,USD,1100000,Seed,1100000,USD,1100000,1100000,USD,1100000,"Cedro Capital, FC Partners, M&A Boutique",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,460",80,,,,,,,,,,,
Priced,https://www.crunchbase.com/organization/priced,"Analytics, Big Data, Fast-Moving Consumer Goods, Retail Technology","São Paulo, Sao Paulo, Brazil",Priced uses data science to generate consumer & market insights and help translate those findings into concrete business intelligence.,"52,541",Latin America,Less than $1M,Active,2014-03-01,day,,,,,For Profit,http://www.priced.com.br,,,https://www.linkedin.com/company/priced,,+55 (11) 3522-3270,55,,"Priced provides businesses with solutions to obtain analytics that focus on market research and promotional marketing. Priced provides retail businesses with applications, marketing services, and research. The applications it provides are my Rates and credits NFP. Priced was founded by Claudio N, Victor Key Harada, Ricardo C, Rafael M, Ricardo M, and Fernando Romero. It is based in Sao Paulo, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Data and Analytics, Hardware, Real Estate, Software",6,"Claudio N, Fernando Romero, Rafael M, Ricardo C, Ricardo M, Victor Key Harada",11-50,2,Seed,2018-01-01,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2500000,USD,2500000,2500000,USD,2500000,"Graph Ventures, Social Capital, Brian Requarth, GE32 Capital, Florian Hagenbuch",,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,489",29,,,,,,,,,,,
Connect Parts,https://www.crunchbase.com/organization/connect-parts,"E-Commerce, Logistics, Manufacturing, Retail, Transportation","Marília, Sao Paulo, Brazil","Connect Parts sells a wider range of products and categories of accessories and parts for cars, motorbikes and trucks as well.","52,618",Latin America,$1M to $10M,Active,2006-01-01,day,,,,,For Profit,http://www.connectparts.com.br/,https://twitter.com/connectpts,https://www.facebook.com/ConnectParts,https://www.linkedin.com/company/connectparts,contato@connectparts.com.br,+551433118100,,,"Connect Parts sells a wider range of products and categories of accessories and parts for cars, motorbikes and trucks as well.",,,,,,,,,,,,,,"Commerce and Shopping, Manufacturing, Transportation",1,Paulo Biancalana,501-1000,1,,2012-02-01,8700000,USD,8700000,Venture - Series Unknown,8700000,USD,8700000,Venture - Series Unknown,8700000,USD,8700000,8700000,USD,8700000,Atomico,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,569",48,,,25,,,,,,,,
Squid it,https://www.crunchbase.com/organization/squid-it,"Advertising, Advertising Platforms, B2B, Communications Infrastructure, Digital Media, Marketing","São Paulo, Sao Paulo, Brazil","Squid it is a visual marketing platform, developed to be a new media channel for advertisers.","52,677",Latin America,$1M to $10M,Active,2014-07-01,month,,,,,For Profit,http://squidit.com.br/,https://twitter.com/squiditapp,https://www.facebook.com/squidit.com.br/,https://www.linkedin.com/company/squid-it/,contato@squidit.com.br,1(130)428-864,,,"Squid is the first influence marketing platform in Brazil specializing in microinfluentiators. Our mission is to use the specialty of content creators to humanize brand communication. With proprietary technology, we automate the process of identifying the best profiles, recruiting and managing digital influencers, as well as measuring engagement and ROI results that each brings to the corporate marketing campaign.",,,,,,,,,,,,,,"Advertising, Hardware, Media and Entertainment, Other, Sales and Marketing",2,"Carlos Tristan, Felipe Oliva",11-50,1,Seed,2015-02-10,225000,BRL,79690,Pre-Seed,225000,BRL,79690,Pre-Seed,225000,BRL,79690,225000,BRL,79690,"WOW Aceleradora, Start-Up Brasil",1,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,630",68,2,,,,,,,,,,
Dattos,https://www.crunchbase.com/organization/dattos,"Accounting, Asset Management, Banking, Financial Services, FinTech","São Paulo, Sao Paulo, Brazil","Dattos specializes in the integration and automation of accounting, tax, banking, assets, and data reconciliation processes.","52,678",Latin America,,Active,2015-01-01,year,,,,,For Profit,http://www.dattos.com.br/,,https://www.facebook.com/dattosbrasil,https://www.linkedin.com/company/dattos/,contato@dattos.com.br,+55 11 2506-0038,,,"Dattos came up to heal a market need: to unzip and automate reconciliation processes.  We are a Fintech specialized in integration and automation of accounting, tax, banking, assets, and data reconciliation processes.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Professional Services",2,"Guilherme Pessoa, Vagner Borges",11-50,1,Seed,2019-08-30,1500000,BRL,361846,Seed,1500000,BRL,361846,Seed,1500000,BRL,361846,1500000,BRL,361846,Invest Tech,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,631",23,,,,,,,,,,,
Compass,https://www.crunchbase.com/organization/compass-inteligencia-e-tecnologia-para-dentistas,"3D Technology, Information Services, Information Technology","Belo Horizonte, Minas Gerais, Brazil",Compass specializes in 3D scan and printing technology for dentists.,"52,725",Latin America,$1M to $10M,Active,2010-01-01,year,,,,,For Profit,http://www.compass3d.com.br,,,https://www.linkedin.com/company/compass-3d/,,,13,,Compass is  a global intelligence and technology company for dentists. It develop and commercialize dental diagnosis and planning programs and services with 3D technology. ,,,,,,,,,,,,,,"Hardware, Information Technology, Software",,,11-50,3,Seed,2017-07-01,2500000,BRL,755812,Seed,2500000,BRL,755812,Seed,5000000,BRL,1483546,5000000,BRL,1483546,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,679",49,,,,,,,,,,,
Rei do Pitaco,https://www.crunchbase.com/organization/rei-do-pitaco,"Fantasy Sports, Gaming, Sports","Brasil, Sao Paulo, Brazil",Brazilian Daily Fantasy Sports company for cash prizes,"53,028",Latin America,,Active,2019-05-01,day,,,,,For Profit,http://reidopitaco.com.br,https://twitter.com/reidopitaco,https://www.facebook.com/reidopitaco/,https://www.linkedin.com/company/reidopitaco,suporte@reidopitaco.com,,,,"Rei do Pitaco is the first trustworthy Brazilian Daily Fantasy Sports mobile app. We want to make sports more fun, so we are creating a platform that allows fans in Brazil to compete in a single round, fantasy sports contests for all major football leagues.",,,,,,,,,,,,,,"Gaming, Sports",2,"André Augusto, Mateus Carvalho Dantas",11-50,2,Seed,2020-06-01,100000,USD,100000,Pre-Seed,100000,USD,100000,Pre-Seed,200000,USD,200000,200000,USD,200000,"VERVE CAPITAL, SKBR",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,996",2,,,,,,,,,,,
Closecare,https://www.crunchbase.com/organization/closecare,"Health Care, Information Technology, Internet, Software","São Paulo, Sao Paulo, Brazil","Closecare is a health tech-platform that helps to improve experience, outcomes, and healthcare cost for employers.","53,382",Latin America,,Active,2018-06-01,month,,,,,For Profit,https://closecare.com.br,,,https://www.linkedin.com/company/closecare/,contato@closecare.com.br,,,,,,,,,,,,,,,,,,"Health Care, Information Technology, Internet Services, Software",3,"André Camargo, Fábio Tsuguta Matsumoto, Petrus Gomes",1-10,2,Seed,2020-08-01,200000,USD,200000,Pre-Seed,200000,USD,200000,Pre-Seed,350000,USD,350000,350000,USD,350000,"DOMO Invest, Green Rock",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"55,361",64,,,,,,,,,,,
iSPORTiSTiCS,https://www.crunchbase.com/organization/isportistics,"Artificial Intelligence, Computer Vision, Content, Machine Learning, Marketing, Predictive Analytics, Sports, Video, Video Editing","São Paulo, Sao Paulo, Brazil",We train algorithms to interpret sporting events like a human would.,"53,438",Latin America,$1M to $10M,Active,2017-08-01,day,,,,,For Profit,https://www.isportistics.com/,https://twitter.com/isportistics,https://www.facebook.com/iSPORTiSTiCS,https://www.linkedin.com/company/isportistics/,info@isportistics.com,,,,"Video interpretation and tagging for sports content powered by AI.. (Auto) detection of actions, stats, and objects, set going a suite of video production applications based on the cloud.",,,,,,,,,,,,,,"Artificial Intelligence, Content and Publishing, Data and Analytics, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Sports, Video",3,"Carlos Gamboa, Vinicius Gholmie, Vinicius Gholmie",11-50,2,Seed,2019-09-19,,,,Seed,,,,Seed,509650,USD,509650,509650,USD,509650,André Zimmermann,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"55,418",31,,,,,,,,,,,
Gavea Marketplace,https://www.crunchbase.com/organization/gavea-marketplace,"Agriculture, AgTech, Financial Exchanges, Information Technology, Marketplace","Rio De Janeiro, Rio de Janeiro, Brazil",Gavea Marketplace is a digital blockchain-based Commodities Exchange disrupting a centuries-old industry by connecting buyers and sellers,"53,585",Latin America,,Active,2019-01-01,day,,,,,For Profit,https://www.gavea.com,,,https://www.linkedin.com/company/gavea-marketplace/,gavea@gavea.com,+55 21 98145-9095,,,"Gavea Marketplace is a digital blockchain-based Commodities exchange, an innovative trading platform disrupting a centuries-old industry by digitizing connecting buyers and sellers with IA and ML. Gavea digital platform simplifies the trading, execution and settlement of Physical Commodities, making the whole process efficient and cheaper to participants, in a safer and transparent environment.",,,,,,,,,,,,,,"Agriculture and Farming, Commerce and Shopping, Financial Services, Information Technology, Lending and Investments",1,Vítor Uchôa Nunes,11-50,1,Seed,2020-08-01,2200000,BRL,421242,Seed,2200000,BRL,421242,Seed,2200000,BRL,421242,2200000,BRL,421242,"DOMO Invest, Marcos Viriato",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"55,575",,,,,,,,,,,,
Vitrina,https://www.crunchbase.com/organization/vitrina,"E-Commerce, Fashion, iOS, Marketplace, Mobile","Curitiba, Parana, Brazil","Vitrina is a mobile marketplace for people to share, buy and sell fashion products.","53,638",Latin America,,Active,2012-01-01,year,,,,,For Profit,http://vitrina.cc,http://twitter.com/VitrinaApp,http://www.facebook.com/vitrinaapp,,vitrina@vitrina.cc,55(41) 3528-6015,,,"Vitrina is a mobile and social fashion marketplace for Brazil. eBay meets Instagram for Brazil.  Vitrina is the pioneer mobile fashion marketplace in Brazil.  It believes that Fashion is the best way to push mCommerce.  and looks to create a platform for people to share, buy and sell their fashion products without much hassle, but still with all the security and safety needed. One of the goals is to truly create the most social marketplace out there. Using gamification aspects, social media concepts and a consistent tool to truly generate the best possible user experience. Currently available on Apple's App Store and via web (www.vitrina.cc). Coming soon to Android.",,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Mobile, Platforms, Software",1,Saulo Marti,11-50,2,Seed,2021-01-08,2200000,USD,2200000,Seed,2200000,USD,2200000,Seed,2700000,USD,2700000,2700000,USD,2700000,"AVG Basecamp Fund, Christian Ribeiro",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"55,628",11,7,,,,,,,,,,
Plugify,https://www.crunchbase.com/organization/plugify-tecnologia-sa,,"São Paulo, Sao Paulo, Brazil",Plugify is a startup company offering IT Facilities as a Service.,"53,731",Latin America,,Active,2017-11-01,month,,,,,For Profit,https://www.plugify.com.br,,,,vendas@plugify.com.br,,,,"Plugify is a startup company offering IT Facilities as a Service. The company offers notebooks, tablets, and mobile phones through a 24-month subscription as well as hardware organizing, localization, and management tools. The founders Alexandre Gotthilf and Paula Rathsam set-up the company in São Paulo, Sao Paulo in 2017.",,,,,,,,,,,,,,,,,11-50,2,Seed,2019-11-01,10000000,BRL,2506077,Debt Financing,1000000,BRL,301885,Pre-Seed,1000000,BRL,301885,11000000,BRL,2807963,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"55,725",13,,,,,,,,,,,
